hub,date,price_high,price_low,price_avg,volume,trades,counterparties
algonquin,2017-01-03,6.00,6.00,6.00,"1,000",1,2
algonquin,2017-01-04,13.35,12.95,13.17,"63,800",18,20
algonquin,2017-01-18,3.65,3.60,3.63,"10,000",2,2
algonquin,2017-01-23,3.65,3.65,3.65,"7,500",2,4
algonquin,2017-01-24,3.65,3.65,3.65,"6,200",2,2
algonquin,2017-01-26,4.25,4.15,4.25,"5,100",3,5
algonquin,2017-01-31,4.80,4.50,4.74,"6,800",4,4
algonquin,2017-02-01,5.15,5.15,5.15,"1,100",1,2
algonquin,2017-02-02,5.35,4.90,5.03,"10,900",5,7
algonquin,2017-02-03,4.70,4.25,4.67,"18,100",5,5
algonquin,2017-02-06,3.00,3.00,3.00,"4,500",2,3
algonquin,2017-02-07,3.50,3.50,3.50,"1,500",1,2
algonquin,2017-02-08,6.25,6.25,6.25,"1,500",1,2
algonquin,2017-02-09,5.90,5.90,5.90,"1,200",1,2
algonquin,2017-02-15,3.98,3.98,3.98,"5,000",1,2
algonquin,2017-02-16,3.50,3.50,3.50,"10,000",2,2
algonquin,2017-02-21,2.85,2.65,2.78,"7,500",2,4
algonquin,2017-02-22,2.30,2.30,2.30,"1,500",1,2
algonquin,2017-02-23,2.20,2.20,2.20,"7,500",3,2
algonquin,2017-02-24,2.52,2.27,2.27,"5,000",1,2
algonquin,2017-02-27,2.25,2.15,2.21,"19,500",5,7
algonquin,2017-03-01,3.50,3.50,3.50,"4,300",1,2
algonquin,2017-03-02,4.50,4.35,4.46,"11,700",4,6
algonquin,2017-03-03,4.05,4.05,4.05,700,1,2
algonquin,2017-03-09,6.40,5.90,6.07,"13,000",3,4
algonquin,2017-03-10,8.50,7.60,8.13,"27,000",7,5
algonquin,2017-03-13,8.25,7.50,7.88,"23,000",5,6
algonquin,2017-03-14,8.15,8.05,8.10,"9,200",3,5
algonquin,2017-03-15,7.35,7.35,7.35,"5,000",1,2
algonquin,2017-03-16,6.75,6.50,6.61,"9,200",2,4
algonquin,2017-03-17,4.65,4.45,4.56,"16,000",3,4
algonquin,2017-03-21,7.15,6.75,6.92,"20,300",5,5
algonquin,2017-03-22,4.50,4.25,4.44,"5,600",4,5
algonquin,2017-03-23,2.80,2.80,2.80,"5,000",1,2
algonquin,2017-03-24,2.60,2.60,2.60,"1,500",1,2
algonquin,2017-03-27,2.85,2.85,2.85,"10,000",2,3
algonquin,2017-03-28,2.95,2.95,2.95,"5,000",1,2
algonquin,2017-03-29,3.25,3.17,3.23,"22,300",6,2
algonquin,2017-03-30,3.96,3.96,3.96,"4,400",1,2
algonquin,2017-03-31,3.86,3.85,3.85,"3,400",2,3
algonquin,2017-04-04,3.90,3.90,3.90,"1,500",1,2
algonquin,2017-04-05,3.40,3.40,3.40,"2,500",1,2
algonquin,2017-04-12,3.03,3.03,3.03,"5,000",1,2
algonquin,2017-04-13,2.60,2.60,2.60,100,1,2
algonquin,2017-04-17,3.35,3.21,3.32,"5,700",5,6
algonquin,2017-04-18,3.50,3.50,3.50,"4,100",1,2
algonquin,2017-04-20,2.89,2.89,2.89,500,1,2
algonquin,2017-04-21,2.80,2.74,2.77,"9,000",2,3
algonquin,2017-04-24,3.60,3.60,3.60,"3,500",2,4
algonquin,2017-04-25,2.75,2.75,2.75,300,1,2
algonquin,2017-05-04,3.10,3.10,3.10,300,1,2
algonquin,2017-05-05,3.30,3.30,3.30,"10,000",2,3
algonquin,2017-05-08,3.30,3.29,3.30,"5,100",2,3
algonquin,2017-05-10,3.19,3.19,3.19,"2,400",2,3
